Date;Time;Latitude;Longitude;ug/m3
15/02/2020;12:43:52;-6.972.763;107.634.040;3662589
15/02/2020;12:43:53;-6.972.800;107.634.017;3806045
15/02/2020;12:43:54;-6.972.800;107.634.017;3677689
15/02/2020;12:43:55;-6.972.836;107.633.979;3624835
15/02/2020;12:43:56;-6.972.836;107.633.979;3692791
15/02/2020;12:43:57;-6.972.878;107.633.949;3677689
15/02/2020;12:43:58;-6.972.878;107.633.949;3806045
15/02/2020;12:43:59;-6.972.919;107.633.888;3753194
15/02/2020;12:44:00;-6.972.919;107.633.888;3813595
15/02/2020;12:44:01;-6.972.959;107.633.842;3753194
15/02/2020;12:44:02;-6.972.959;107.633.842;3775845
15/02/2020;12:44:03;-6.972.996;107.633.789;3753194
15/02/2020;12:44:04;-6.972.996;107.633.789;3745643
15/02/2020;12:44:05;-6.973.030;107.633.758;3685239
15/02/2020;12:44:06;-6.973.030;107.633.758;3609736
15/02/2020;12:44:07;-6.973.062;107.633.735;3541782
15/02/2020;12:44:08;-6.973.062;107.633.735;3534232
15/02/2020;12:44:09;-6.973.086;107.633.712;3526681
15/02/2020;12:44:10;-6.973.086;107.633.712;4228867
15/02/2020;12:44:11;-6.973.103;107.633.682;3813595
15/02/2020;12:44:12;-6.973.103;107.633.682;3722992
15/02/2020;12:44:13;-6.973.115;107.633.659;3655037
15/02/2020;12:44:14;-6.973.115;107.633.659;3624835
15/02/2020;12:44:15;-6.973.145;107.633.621;3602185
15/02/2020;12:44:16;-6.973.145;107.633.621;3609736
15/02/2020;12:44:17;-6.973.173;107.633.590;3632387
15/02/2020;12:44:18;-6.973.173;107.633.590;3624835
15/02/2020;12:44:19;-6.973.210;107.633.552;3617288
15/02/2020;12:44:20;-6.973.210;107.633.552;3655037
15/02/2020;12:44:21;-6.973.236;107.633.522;3655037
15/02/2020;12:44:22;-6.973.236;107.633.522;3624835
15/02/2020;12:44:23;-6.973.265;107.633.483;3609736
15/02/2020;12:44:24;-6.973.265;107.633.483;3602185
15/02/2020;12:44:25;-6.973.306;107.633.445;3602185
15/02/2020;12:44:26;-6.973.306;107.633.445;3587086
15/02/2020;12:44:27;-6.973.336;107.633.415;3587086
15/02/2020;12:44:28;-6.973.336;107.633.415;3655037
15/02/2020;12:44:29;-6.973.369;107.633.369;3639938
15/02/2020;12:44:30;-6.973.369;107.633.369;3632387
15/02/2020;12:44:31;-6.973.396;107.633.354;3655037
15/02/2020;12:44:32;-6.973.396;107.633.354;3594635
15/02/2020;12:44:33;-6.973.421;107.633.323;3655037
15/02/2020;12:44:34;-6.973.421;107.633.323;3564434
15/02/2020;12:44:35;-6.973.442;107.633.293;3692791
15/02/2020;12:44:36;-6.973.442;107.633.293;3700342
15/02/2020;12:44:37;-6.973.469;107.633.255;3587086
15/02/2020;12:44:38;-6.973.469;107.633.255;3692791
15/02/2020;12:44:39;-6.973.502;107.633.224;3587086
15/02/2020;12:44:40;-6.973.502;107.633.224;3662589
15/02/2020;12:44:41;-6.973.536;107.633.193;3549334
15/02/2020;12:44:42;-6.973.536;107.633.193;3655037
15/02/2020;12:44:43;-6.973.576;107.633.148;3632387
15/02/2020;12:44:44;-6.973.576;107.633.148;3556884
15/02/2020;12:44:45;-6.973.612;107.633.102;3655037
15/02/2020;12:44:46;-6.973.612;107.633.102;3594635
15/02/2020;12:44:47;-6.973.636;107.633.071;3624835
15/02/2020;12:44:48;-6.973.636;107.633.071;3609736
15/02/2020;12:44:49;-6.973.660;107.633.033;3609736
15/02/2020;12:44:50;-6.973.660;107.633.033;3617288
15/02/2020;12:44:51;-6.973.687;107.633.003;3587086
15/02/2020;12:44:52;-6.973.687;107.633.003;3587086
15/02/2020;12:44:53;-6.973.718;107.632.972;3556884
15/02/2020;12:44:54;-6.973.718;107.632.972;3662589
15/02/2020;12:44:55;-6.973.739;107.632.949;3911751
15/02/2020;12:44:56;-6.973.739;107.632.949;3738092
15/02/2020;12:44:57;-6.973.763;107.632.926;3738092
15/02/2020;12:44:58;-6.973.763;107.632.926;3730542
15/02/2020;12:44:59;-6.973.790;107.632.904;4176014
15/02/2020;12:45:00;-6.973.790;107.632.904;3911751
15/02/2020;12:45:01;-6.973.826;107.632.858;3647488
15/02/2020;12:45:02;-6.973.826;107.632.858;3383225
15/02/2020;12:45:03;-6.973.867;107.632.835;3881549
15/02/2020;12:45:04;-6.973.867;107.632.835;3881549
15/02/2020;12:45:05;-6.973.907;107.632.812;3783395
15/02/2020;12:45:06;-6.973.907;107.632.812;3858899
15/02/2020;12:45:07;-6.973.936;107.632.789;3753194
15/02/2020;12:45:08;-6.973.936;107.632.789;3707891
15/02/2020;12:45:09;-6.973.968;107.632.766;3662589
15/02/2020;12:45:10;-6.973.968;107.632.766;3730542
15/02/2020;12:45:11;-6.974.006;107.632.736;3798495
15/02/2020;12:45:12;-6.974.006;107.632.736;3866448
15/02/2020;12:45:13;-6.974.057;107.632.713;3541782
15/02/2020;12:45:14;-6.974.057;107.632.713;3526681
15/02/2020;12:45:15;-6.974.106;107.632.698;3519132
15/02/2020;12:45:16;-6.974.106;107.632.698;3511582
15/02/2020;12:45:17;-6.974.157;107.632.690;3504032
15/02/2020;12:45:18;-6.974.157;107.632.690;3511582
15/02/2020;12:45:19;-6.974.210;107.632.698;3526681
15/02/2020;12:45:20;-6.974.210;107.632.698;3534232
15/02/2020;12:45:21;-6.974.266;107.632.690;3526681
15/02/2020;12:45:22;-6.974.266;107.632.690;3519132
15/02/2020;12:45:23;-6.974.320;107.632.667;3511582
15/02/2020;12:45:24;-6.974.320;107.632.667;3504032
15/02/2020;12:45:25;-6.974.353;107.632.644;3496482
15/02/2020;12:45:26;-6.974.353;107.632.644;3488932
15/02/2020;12:45:27;-6.974.383;107.632.629;3481382
15/02/2020;12:45:28;-6.974.383;107.632.629;3473832
